SKU,Product Name,ASIN,Alert Name,Alert Type,Field Name,Internal Field Name,Corrected Value,Explanation,Last Updated
MensTshirt-black-S-BMDW,pin_up_summer Männer T-Shirt Small,B01KI69GA0,Quality,Missing,Product Description,product_description,, is important for helping customers find your product.,9/25/17 12:46:34 PM UTC
MensTshirt-black-S-BMDW,pin_up_summer Männer T-Shirt Small,B01KI69GA0,Quality,Missing,Material Composition,material_composition,, is important for helping customers find your product.,9/25/17 12:46:35 PM UTC
MensTshirt-black-S-BMDW,pin_up_summer Männer T-Shirt Small,B01KI69GA0,Suppressed,Missing,Color Map,color_map,, is important for helping customers find your product.,9/25/17 12:46:34 PM UTC
MensTshirt-black-S-BMDW,pin_up_summer Männer T-Shirt Small,B01KI69GA0,Suppressed,Missing,Color,color_name,, is important for helping customers find your product.,9/25/17 12:46:34 PM UTC
MensTshirt-black-S-BMDX,Athena Statue Männer T-Shirt Small,B01KGSEQWS,Quality,Missing,Material Composition,material_composition,, is important for helping customers find your product.,9/25/17 12:46:36 PM UTC
MensTshirt-black-S-BMDZ,Aphrodite Bust Männer T-Shirt Small,B01KGSFY1K,Quality,Missing,Material Composition,material_composition,, is important for helping customers find your product.,9/25/17 12:46:35 PM UTC
MensTshirt-black-S-BMEB,Cleopatra Bust Männer T-Shirt Small,B01KGSH6Y8,Quality,Missing,Material Composition,material_composition,, is important for helping customers find your product.,9/25/17 12:46:37 PM UTC
MensTshirt-black-S-BMED,Caesar Augustus With Sportwear Männer T-Shirt Small,B01KGSI6TC,Quality,Missing,Material Composition,material_composition,, is important for helping customers find your product.,9/25/17 12:46:40 PM UTC
MensTshirt-black-S-BMEE,pin_up_blonde Männer T-Shirt Small,B01KI6B4A0,Quality,Missing,Product Description,product_description,, is important for helping customers find your product.,9/25/17 12:46:40 PM UTC
MensTshirt-black-S-BMEE,pin_up_blonde Männer T-Shirt Small,B01KI6B4A0,Suppressed,Missing,Color Map,color_map,, is important for helping customers find your product.,9/25/17 12:46:39 PM UTC
MensTshirt-black-S-BMEE,pin_up_blonde Männer T-Shirt Small,B01KI6B4A0,Suppressed,Missing,Color,color_name,, is important for helping customers find your product.,9/25/17 12:46:39 PM UTC
MensTshirt-black-S-BMEE,pin_up_blonde Männer T-Shirt Small,B01KI6B4A0,Quality,Missing,Material Composition,material_composition,, is important for helping customers find your product.,9/25/17 12:46:39 PM UTC
MensTshirt-black-S-BMEH,Julius Caesar Show Must Go On Männer T-Shirt Small,B01KGSEXS0,Quality,Missing,Material Composition,material_composition,, is important for helping customers find your product.,9/25/17 12:46:37 PM UTC
MensTshirt-black-S-BMEK,Medusa Bust Männer T-Shirt Small,B01KGSG874,Quality,Missing,Material Composition,material_composition,, is important for helping customers find your product.,9/25/17 12:46:40 PM UTC
MensTshirt-black-S-BMEL,Mermaid Sculpture Männer T-Shirt Small,B01KGSHHCO,Quality,Missing,Material Composition,material_composition,, is important for helping customers find your product.,9/25/17 12:46:39 PM UTC
MensTshirt-black-S-BMEM,Apollo Bust Männer T-Shirt Small,B01KGSIC8W,Quality,Missing,Material Composition,material_composition,, is important for helping customers find your product.,9/25/17 12:46:42 PM UTC
MensTshirt-black-S-BMEQ,Shanghai Portrait Männer T-Shirt Small,B01KGSGH6Q,Quality,Missing,Material Composition,material_composition,, is important for helping customers find your product.,9/25/17 12:46:46 PM UTC
MensTshirt-black-S-BMER,Fresh Gun Männer T-Shirt Small,B01KGSHNL4,Quality,Missing,Material Composition,material_composition,, is important for helping customers find your product.,9/25/17 12:46:46 PM UTC
MensTshirt-black-S-BMES,Bust Of Greek God Apollo Männer T-Shirt Small,B01KGSIGNS,Quality,Missing,Material Composition,material_composition,, is important for helping customers find your product.,9/25/17 12:46:49 PM UTC
MensTshirt-black-S-BMEU,Fresh Knife Männer T-Shirt Small,B01KGSFDQ6,Quality,Missing,Material Composition,material_composition,, is important for helping customers find your product.,9/25/17 12:46:47 PM UTC
MensTshirt-black-S-BMEV,PIN UP GINGER Männer T-Shirt Small,B01KI65U8C,Quality,Missing,Product Description,product_description,, is important for helping customers find your product.,9/25/17 12:46:47 PM UTC
MensTshirt-black-S-BMEV,PIN UP GINGER Männer T-Shirt Small,B01KI65U8C,Quality,Missing,Material Composition,material_composition,, is important for helping customers find your product.,9/25/17 12:46:47 PM UTC
MensTshirt-black-S-BMEV,PIN UP GINGER Männer T-Shirt Small,B01KI65U8C,Suppressed,Missing,Color Map,color_map,, is important for helping customers find your product.,9/25/17 12:46:57 PM UTC
MensTshirt-black-S-BMEV,PIN UP GINGER Männer T-Shirt Small,B01KI65U8C,Suppressed,Missing,Color,color_name,, is important for helping customers find your product.,9/25/17 12:46:57 PM UTC
MensTshirt-black-S-BMEW,PIN UP BLONDE BOMBSHELL Männer T-Shirt Small,B01KI67PN0,Suppressed,Missing,Color Map,color_map,, is important for helping customers find your product.,9/25/17 12:46:53 PM UTC
MensTshirt-black-S-BMEW,PIN UP BLONDE BOMBSHELL Männer T-Shirt Small,B01KI67PN0,Suppressed,Missing,Color,color_name,, is important for helping customers find your product.,9/25/17 12:46:53 PM UTC
MensTshirt-black-S-BMEW,PIN UP BLONDE BOMBSHELL Männer T-Shirt Small,B01KI67PN0,Quality,Missing,Product Description,product_description,, is important for helping customers find your product.,9/25/17 12:46:48 PM UTC
MensTshirt-black-S-BMEW,PIN UP BLONDE BOMBSHELL Männer T-Shirt Small,B01KI67PN0,Quality,Missing,Material Composition,material_composition,, is important for helping customers find your product.,9/25/17 12:46:49 PM UTC
MensTshirt-black-S-BMEX,PIN UP FRIDAY GIRL Männer T-Shirt Small,B01KI69Q00,Suppressed,Missing,Color Map,color_map,, is important for helping customers find your product.,9/25/17 12:47:02 PM UTC
MensTshirt-black-S-BMEX,PIN UP FRIDAY GIRL Männer T-Shirt Small,B01KI69Q00,Suppressed,Missing,Color,color_name,, is important for helping customers find your product.,9/25/17 12:47:02 PM UTC
